;Montag;Dienstag;Mittwoch;Donnerstag;Freitag
Zeit 0;;;VC 4  2SU / 2 ‹ 14t‹ Jung 2 Doppelstunden BVC 4  2SU / 2 ‹ 14t Room, Minuspunkte: 10;;
Zeit 1;VC 1 Barthel 2 Doppelstunden VC 1 Room, Minuspunkte: 0;;;;
Zeit 2;;;;;
Zeit 3;;GT 2 Steinicke 2 Doppelstunden GT 2 Room, Minuspunkte: 31;;BSAC Busch 2 Doppelstunden BSAC Room, Minuspunkte: 0;
Zeit 4;WT 4  /WT 5  Kleinen 2 Doppelstunden WT 4  /WT 5  Room, Minuspunkte: 30;;GT 1 M Lenz 2 Doppelstunden GT 1 M Room, Minuspunkte: 10;;Mathe Schneider 2 Doppelstunden Mathe Room, Minuspunkte: 23
Zeit 5;;M1 EP Baumeister 1 Doppelstunden M1 EP Room, Minuspunkte: 1;;;M 1 Baumeister 2 Doppelstunden M 1, Minuspunkte: 1
Zeit 6;;;;;
